bought_on,sold_on,profit
2021-02-04,2021-02-09,0.059844089928409616
2021-02-10,2021-02-11,0.03574575497993604
2021-02-12,2021-02-24,-0.0616113402914763
2021-02-26,2021-03-01,0.00890751614530294
2021-03-03,2021-03-10,-0.043627210144939865
2021-03-11,2021-03-16,0.031389980242519266
2021-03-17,2021-03-18,0.007419611031519668
2021-03-19,2021-03-22,0.012764725030637303
2021-03-24,2021-03-29,-0.025168692218629385
2021-04-06,2021-04-13,0.08798375040708994
2021-04-15,2021-04-22,-0.018355945730247458
2021-04-23,2021-04-26,0.016790313170830462
2021-04-28,2021-05-12,-0.08819032623884993
2021-05-14,2021-05-17,0.019222559719651366
2021-05-19,2021-05-20,0.05425128791204448
2021-05-24,2021-06-01,0.0695151812538517
2021-06-02,2021-06-03,0.027596181606081904
2021-06-08,2021-06-14,0.02160915545590769
2021-06-15,2021-06-18,0.048506853125696914
2021-06-21,2021-06-23,0.031054671414884938
2021-06-24,2021-06-29,0.034052350041242185
2021-06-30,2021-07-12,0.01203795796778273
2021-07-14,2021-07-20,-0.07995724668341375
2021-07-26,2021-07-29,0.010771072572526075
2021-08-04,2021-08-05,0.025512787690011418
2021-08-06,2021-08-16,-0.018953416904766485
2021-08-17,2021-08-20,0.015544818205312172
2021-08-25,2021-08-26,0.021300110350172208
2021-08-27,2021-09-07,0.02925534439370847
2021-09-08,2021-09-13,0.007595573304270298
2021-09-14,2021-09-17,0.001122334455667895
2021-09-20,2021-09-21,0.012815621720589032
2021-09-29,2021-10-01,-0.009073514574330144
2021-10-05,2021-10-06,0.008521287961113622
2021-10-11,2021-10-12,0.012296470373253321
2021-10-13,2021-10-15,0.04264276575226744
2021-10-18,2021-10-19,0.02423094800021741
2021-10-20,2021-10-22,0.023223459336062957
2021-10-25,2021-11-05,0.31402081021760386
2021-11-08,2021-11-17,0.008922360703634169
2021-11-18,2021-11-26,0.007198648239268746
2021-11-29,2021-11-30,0.02480998173527782
2021-12-01,2021-12-03,-0.03669587390293727
2021-12-06,2021-12-07,0.036044243544990584
2021-12-10,2021-12-15,-0.0882825040128411
2021-12-17,2021-12-21,0.013900246725099263
2021-12-27,2021-12-28,0.05569787145555982
2021-12-29,2022-01-07,-0.07042581359791777
2022-01-10,2022-01-11,0.027914726668995193
2022-01-14,2022-01-18,-0.0015208893402447465
2022-01-20,2022-01-24,-0.11753078969119946
2022-01-28,2022-01-31,0.053152882366739984
2022-02-02,2022-02-08,-0.05563311610332855
2022-02-11,2022-02-16,0.013235038691592482
2022-02-18,2022-02-23,-0.03510616450642767
2022-02-24,2022-02-25,0.12876523246872895
2022-03-02,2022-03-03,0.021299872076929738
2022-03-04,2022-03-09,-0.04263599630876169
2022-03-14,2022-03-16,0.07458044435736699
2022-03-22,2022-03-25,0.04336437615260191
2022-03-28,2022-04-05,-0.018086140142050122
2022-04-06,2022-04-08,-0.040787672729262314
2022-04-18,2022-04-19,0.024528287491708323
2022-04-21,2022-04-26,-0.09171313279272619
2022-04-27,2022-04-28,0.01984085668445834
2022-05-02,2022-05-03,0.04632973501011861
2022-05-06,2022-05-13,-0.10397094184500566
2022-05-18,2022-05-24,-0.06749503949315827
2022-06-01,2022-06-03,0.019119855404967634
2022-06-06,2022-06-08,-0.01776474166532782
2022-06-09,2022-06-14,-0.1488014737475506
2022-06-24,2022-06-27,0.049212091619318166
2022-06-28,2022-07-05,-0.16124260355029585
2022-07-13,2022-07-14,0.03550382557414977
2022-07-19,2022-07-21,0.08485991411724902
2022-07-22,2022-07-28,0.0045828388631556916
2022-07-29,2022-08-01,0.020715221132081574
2022-08-17,2022-08-19,-0.006316461674308438
2022-08-22,2022-08-24,-0.027329896775902363
2022-08-29,2022-09-01,-0.11304619822310347
2022-09-14,2022-09-15,-0.01803228844661864
2022-09-23,2022-09-26,0.0057166403487356465
2022-10-07,2022-10-12,-0.07405039512392309
2022-10-17,2022-10-18,0.07171385756507309
2022-10-19,2022-10-24,0.052950592365094806
2022-10-28,2022-10-31,0.05143472098969748
2022-11-01,2022-11-11,0.14452253005327376
2022-11-14,2022-11-22,-0.05487726167479001
2022-11-29,2022-12-01,0.07405067861454784
2022-12-07,2022-12-08,0.03176511836203488
2022-12-14,2022-12-21,-0.10413074017896229
2022-12-23,2022-12-27,-0.00802843621216942
2022-12-28,2022-12-29,0.03410641095915623
2023-01-04,2023-01-05,-0.00521723427190901
2023-01-06,2023-01-09,0.05596234998836658
2023-01-12,2023-01-13,0.01105589303911092
2023-01-19,2023-01-23,0.06034279609337023
2023-01-27,2023-01-30,0.02507452988000569
2023-01-31,2023-02-01,0.027177917562898113
2023-02-09,2023-02-15,-0.002521419408942016
2023-02-24,2023-03-03,0.004090406666274138
2023-03-07,2023-03-09,0.02436440677966112
2023-03-10,2023-03-14,0.0037165636703275773
2023-03-20,2023-04-03,0.07394106145893686
2023-04-05,2023-04-06,-0.009131954709453938
2023-04-12,2023-04-17,-0.029411830294175156
2023-04-21,2023-04-24,0.0022633418447850495
